,Adjusted Cap Hit,Age,Base Salary,Cap Percentage,Performance Bonus,Player,Position,Signing Bonus,Team,Total Cap Hit,Total Salary
0,"$8,625,000 ",29,"$5,000,000",13.68,-,Corey Perry,RW,"$4,000,000",Anaheim Ducks 2014-2015 Salary Cap ,"$8,625,000 ","$9,000,000"
1,"$8,250,000 ",29,"$8,750,000",13.08,-,Ryan Getzlaf,C,-,Anaheim Ducks 2014-2015 Salary Cap ,"$8,250,000 ","$8,750,000"
2,"$5,000,000 ",30,"$5,000,000",7.93,-,Ryan Kesler,C,-,Anaheim Ducks 2014-2015 Salary Cap ,"$5,000,000 ","$5,000,000"
3,"$4,000,000 ",22,"$4,000,000",6.34,-,Cam Fowler,D,-,Anaheim Ducks 2014-2015 Salary Cap ,"$4,000,000 ","$4,000,000"
4,"$3,500,000 ",34,"$3,500,000",5.55,-,Francois Beauchemin,D,-,Anaheim Ducks 2014-2015 Salary Cap ,"$3,500,000 ","$3,500,000"
5,"$3,250,000 ",29,"$3,250,000",5.15,-,Clayton Stoner,D,-,Anaheim Ducks 2014-2015 Salary Cap ,"$3,250,000 ","$3,250,000"
6,"$3,000,000 ",27,"$2,700,000",4.76,-,Andrew Cogliano,LW,-,Anaheim Ducks 2014-2015 Salary Cap ,"$3,000,000 ","$2,700,000"
7,"$1,600,000 ",29,"$1,600,000",2.54,-,Nate Thompson,C,-,Anaheim Ducks 2014-2015 Salary Cap ,"$1,600,000 ","$1,600,000"
8,"$1,531,667 ",20,"$832,500",2.43,"$637,500",Hampus Lindholm,D,"$92,500",Anaheim Ducks 2014-2015 Salary Cap ,"$1,531,667 ","$1,562,500"
9,"$1,466,667 ",23,"$1,466,667",2.33,-,Kyle Palmieri,RW,-,Anaheim Ducks 2014-2015 Salary Cap ,"$1,466,667 ","$1,466,667"
10,"$1,350,000 ",26,"$1,400,000",2.14,-,Matt Beleskey,LW,-,Anaheim Ducks 2014-2015 Salary Cap ,"$1,350,000 ","$1,400,000"
11,"$1,262,500 ",23,"$1,250,000",2.00,-,Sami Vatanen,D,-,Anaheim Ducks 2014-2015 Salary Cap ,"$1,262,500 ","$1,250,000"
12,"$1,212,365 ",30,"$1,102,150",1.92,-,James Wisniewski,D,-,Anaheim Ducks 2014-2015 Salary Cap ,"$1,212,365 ","$1,102,150"
13,"$1,150,000 ",24,"$1,000,000",1.82,-,Frederik Andersen,G,-,Anaheim Ducks 2014-2015 Salary Cap ,"$1,150,000 ","$1,000,000"
14,"$1,040,322 ",30,"$1,040,322",1.65,-,Tomas Fleischmann,LW,-,Anaheim Ducks 2014-2015 Salary Cap ,"$1,040,322 ","$1,040,322"
15,"$874,937 ",21,"$832,500",1.39,-,Rickard Rakell,C,"$92,500",Anaheim Ducks 2014-2015 Salary Cap ,"$874,937 ","$925,000"
16,"$850,500 ",23,"$850,500",1.35,-,Jakob Silfverberg,RW,-,Anaheim Ducks 2014-2015 Salary Cap ,"$850,500 ","$850,500"
17,"$637,500 ",32,"$637,500",1.01,-,Tim Jackman,RW,-,Anaheim Ducks 2014-2015 Salary Cap ,"$637,500 ","$637,500"
18,"$575,000 ",26,"$575,000",0.91,-,Patrick Maroon,LW,-,Anaheim Ducks 2014-2015 Salary Cap ,"$575,000 ","$575,000"
19,"$556,613 ",22,"$810,000",0.88,-,Emerson Etem,LW,-,Anaheim Ducks 2014-2015 Salary Cap ,"$556,613 ","$810,000"
