,Age,Assists,Defensive Point Shares,ES Assists,ES Blocks,ES Face-Off Losses,ES Face-Off Pct,ES Face-Off Wins,ES Goals,ES Hits,GW Goals,Games Played,Goals,Offenisve Point Shares,PP Assists,PP Goals,Penalty Minutes,Player,Plus Minus,Point Shares,Points,Position,SH Assists,SH Goals,Shooting Perecentage,Shots,Team,Time on Ice,Time on Ice Avg
12,23,11,0.8,10,20,15,42.3,11,4,100,0,70,4,0.1,1,0,72,Matt Beleskey,-2,0.9,15,LW,0,0,5.3,75,Anaheim Ducks,719,10:16
13,31,11,3.8,10,106,0,,0,3,118,1,80,3,0.4,0,0,72,Sheldon Brookbank,11,4.3,14,D,1,0,6.1,49,Anaheim Ducks,1248,15:36
14,19,6,0.4,5,8,15,28.6,6,5,102,1,49,7,0.6,1,1,16,Devante Smith-Pelly,-7,1.0,13,RW,0,1,10.6,66,Anaheim Ducks,590,12:03
15,34,13,3.2,12,152,0,,0,0,134,0,74,0,-0.2,0,0,46,Toni Lydman,0,3.0,13,D,1,0,0.0,46,Anaheim Ducks,1399,18:54
16,38,5,0.6,4,17,1,0.0,0,5,41,3,45,7,0.3,1,2,6,Jason Blake,-4,0.9,12,C,0,0,6.4,109,Anaheim Ducks,636,14:09
17,20,3,0.4,3,6,0,100.0,2,4,20,0,18,4,0.7,0,0,6,Kyle Palmieri,3,1.0,7,C,0,0,11.8,34,Anaheim Ducks,207,11:31
18,26,3,0.0,3,16,5,0.0,0,2,48,0,37,2,-0.4,0,0,6,Andrew Gordon,-10,-0.3,5,RW,0,0,5.3,38,Anaheim Ducks,402,10:51
19,23,3,0.2,3,4,111,49.8,110,1,17,1,29,1,-0.3,0,0,18,Maxime Macenauer,-4,-0.1,4,C,0,0,7.1,14,Anaheim Ducks,314,10:49
20,32,3,0.4,3,16,0,,0,1,57,0,46,1,-0.3,0,0,85,George Parros,1,0.1,4,RW,0,0,5.9,17,Anaheim Ducks,293,6:23
21,21,4,-0.1,4,13,36,37.9,22,0,20,0,25,0,-0.3,0,0,20,Brandon McMillan,-10,-0.4,4,LW,0,0,0.0,26,Anaheim Ducks,280,11:13
22,27,1,0.3,1,19,122,50.0,122,2,69,0,45,2,-0.5,0,0,9,Rod Pelley,-3,-0.2,3,C,0,0,4.9,41,Anaheim Ducks,360,8:00
23,29,0,0.9,0,17,0,,0,2,26,1,15,2,0.3,0,0,6,Nate Guenin,6,1.2,2,D,0,0,40.0,5,Anaheim Ducks,167,11:09
24,30,1,-0.1,0,5,0,,0,1,16,0,9,1,0.2,1,0,8,Kurtis Foster,-5,0.1,2,D,0,0,6.3,16,Anaheim Ducks,136,15:07
25,21,0,0.0,0,1,11,38.9,7,1,4,1,4,1,0.1,0,0,2,Peter Holland,0,0.2,1,C,0,0,100.0,1,Anaheim Ducks,31,7:42
26,31,1,0.0,,0,0,,0,0,0,0,10,0,0.0,,0,0,Dan Ellis,0,1.2,1,G,,0,,0,Anaheim Ducks,419,41:52
27,29,1,0.0,,0,0,,0,0,0,0,73,0,0.0,,0,0,Jonas Hiller,0,11.4,1,G,,0,,0,Anaheim Ducks,4253,58:15
28,23,1,0.1,1,1,18,47.1,16,0,8,0,6,0,0.0,0,0,2,Ben Maxwell,1,0.1,1,C,0,0,0.0,6,Anaheim Ducks,47,7:45
29,31,0,0.0,0,0,10,54.5,12,0,7,0,5,0,-0.1,0,0,5,Mark Bell,0,-0.1,0,LW,0,0,,0,Anaheim Ducks,32,6:26
30,21,0,-0.1,0,2,0,,0,0,2,0,2,0,0.0,0,0,0,Mat Clark,-2,-0.1,0,D,0,0,0.0,2,Anaheim Ducks,22,11:02
31,27,0,0.0,,0,0,,0,0,0,0,4,0,0.0,,0,0,Jeff Deslauriers,0,0.5,0,G,,0,,0,Anaheim Ducks,241,60:18
32,26,0,0.1,0,0,0,,0,0,6,0,6,0,-0.1,0,0,12,Jean-Francois Jacques,2,0.0,0,LW,0,0,0.0,7,Anaheim Ducks,40,6:37
33,23,0,0.0,0,1,0,,0,0,4,0,2,0,-0.1,0,0,2,Patrick Maroon,0,0.0,0,LW,0,0,0.0,1,Anaheim Ducks,25,12:33
34,24,0,0.0,0,3,4,50.0,4,0,5,0,2,0,0.0,0,0,0,Ryan O'Marra,-1,-0.1,0,C,0,0,0.0,4,Anaheim Ducks,16,8:10
35,26,0,0.0,,,,,,0,0,0,1,0,0.0,,0,0,Iiro Tarkki,0,-0.2,0,G,,0,,0,Anaheim Ducks,41,40:51
36,39,53,2.8,41,10,11,26.7,4,16,28,1,82,24,6.9,12,8,28,Ray Whitney,26,9.7,77,LW,0,0,13.0,185,Phoenix Coyotes,1529,18:39
37,30,27,2.6,19,16,40,40.3,27,25,57,12,77,35,6.8,8,9,24,Radim Vrbata,24,9.3,62,RW,0,1,15.1,232,Phoenix Coyotes,1435,18:39
38,35,28,1.3,18,27,26,55.9,33,17,205,5,79,22,3.6,9,5,48,Shane Doan,-8,5.0,50,RW,1,0,9.7,226,Phoenix Coyotes,1548,19:36
39,25,32,4.3,21,77,0,,0,11,31,2,82,11,3.9,11,0,51,Keith Yandle,5,8.1,43,D,0,0,5.6,196,Phoenix Coyotes,1832,22:20
40,25,20,1.6,18,43,64,26.4,23,14,91,3,82,17,2.0,2,0,14,Lauri Korpikoski,3,3.7,37,LW,0,3,11.6,146,Phoenix Coyotes,1405,17:08
41,24,26,1.8,18,32,526,52.1,571,5,239,2,64,8,1.3,8,3,63,Martin Hanzal,12,3.1,34,C,0,0,5.5,145,Phoenix Coyotes,1180,18:27
42,20,19,3.8,13,92,0,,0,10,140,2,82,13,2.9,6,2,32,Oliver Ekman-Larsson,0,6.7,32,D,0,1,8.8,147,Phoenix Coyotes,1813,22:07
43,35,19,1.1,16,50,551,44.5,441,10,87,1,73,11,1.3,2,1,14,Daymond Langkow,-4,2.4,30,C,1,0,9.8,112,Phoenix Coyotes,1150,15:45
44,30,11,1.0,11,21,8,46.7,7,14,128,1,79,15,2.0,0,1,83,Raffi Torres,2,3.1,26,LW,0,0,15.2,99,Phoenix Coyotes,898,11:22
45,22,13,1.1,12,21,1,50.0,1,11,108,2,82,11,0.7,1,0,12,Mikkel Boedker,-2,1.8,24,LW,0,0,12.8,86,Phoenix Coyotes,1118,13:38
46,28,15,1.7,13,86,508,56.8,669,7,48,2,75,8,0.1,0,0,10,Boyd Gordon,9,1.7,23,RW,2,1,7.0,114,Phoenix Coyotes,1194,15:56
47,30,10,0.8,9,20,5,54.5,6,9,137,1,73,9,0.6,1,0,23,Taylor Pyatt,-4,1.4,19,LW,0,0,8.1,111,Phoenix Coyotes,899,12:19
48,25,13,0.7,13,14,190,47.7,173,3,67,0,53,3,0.5,0,0,42,Kyle Chipchura,2,1.2,16,C,0,0,7.0,43,Phoenix Coyotes,558,10:32
49,25,9,0.7,9,13,13,38.1,8,4,55,0,33,5,1.0,0,1,11,Gilbert Brule,7,1.7,14,C,0,0,8.9,56,Phoenix Coyotes,382,11:34
50,29,10,3.8,10,150,1,50.0,1,3,112,0,65,3,0.3,0,0,54,Rostislav Klesla,13,4.1,13,D,0,0,3.4,87,Phoenix Coyotes,1258,19:22
51,33,12,2.9,12,91,0,,0,1,62,0,54,1,0.3,0,0,34,Michal Rozsival,8,3.2,13,D,0,0,2.0,49,Phoenix Coyotes,1044,19:20
52,33,9,1.3,8,78,0,,0,2,95,0,59,2,0.1,1,0,38,Derek Morris,-12,1.4,11,D,0,0,2.8,72,Phoenix Coyotes,1120,18:59
53,24,10,2.4,10,88,0,,0,1,52,0,46,1,0.3,0,0,10,David Schlemko,7,2.7,11,D,0,0,1.7,58,Phoenix Coyotes,844,18:21
54,29,7,0.6,7,16,144,57.1,192,1,58,1,22,3,0.4,0,2,16,Antoine Vermette,4,1.0,10,C,0,0,7.0,43,Phoenix Coyotes,377,17:07
55,38,7,3.9,7,67,0,,0,1,97,0,64,2,-0.3,0,1,42,Adrian Aucoin,14,3.6,9,D,0,0,2.2,92,Phoenix Coyotes,1296,20:15
56,25,3,0.1,3,9,94,44.7,76,1,3,0,22,2,0.0,0,1,2,Cal O'Reilly,-5,0.1,5,C,0,0,15.4,13,Phoenix Coyotes,278,12:37
57,26,2,0.1,1,4,4,55.6,5,2,7,0,23,2,-0.1,1,0,2,Patrick O'Sullivan,-4,0.0,4,C,0,0,5.9,34,Phoenix Coyotes,254,11:03
58,26,4,0.1,4,1,51,42.0,37,0,10,0,13,0,0.0,0,0,2,Marc Pouliot,-2,0.1,4,C,0,0,0.0,19,Phoenix Coyotes,145,11:11
59,21,2,1.0,2,18,0,,0,1,16,0,13,1,0.2,0,0,2,Michael Stone,7,1.2,3,D,0,0,7.7,13,Phoenix Coyotes,180,13:53
60,21,3,0.1,2,5,0,,0,0,11,0,6,0,0.2,1,0,0,David Rundblad,-1,0.3,3,D,0,0,0.0,8,Phoenix Coyotes,85,14:07
61,23,3,0.2,3,19,0,,0,0,50,0,21,0,0.0,0,0,11,Chris Summers,-4,0.2,3,D,0,0,0.0,10,Phoenix Coyotes,261,12:27
62,29,2,0.0,,0,0,,0,0,0,0,67,0,0.0,,0,16,Mike Smith,0,16.7,2,G,,0,0.0,1,Phoenix Coyotes,3903,58:15
63,26,0,0.0,0,1,1,0.0,0,1,70,1,31,1,-0.3,0,0,41,Paul Bissonnette,-4,-0.3,1,LW,0,0,6.7,15,Phoenix Coyotes,188,6:04
64,26,1,0.0,1,1,13,58.1,18,0,5,0,5,0,0.0,0,0,0,Petteri Nokelainen,-1,0.0,1,C,0,0,0.0,3,Phoenix Coyotes,55,10:58
65,26,0,0.0,0,0,0,100.0,1,0,1,0,2,0,0.0,0,0,2,Alexandre Bolduc,-1,-0.1,0,C,0,0,0.0,1,Phoenix Coyotes,14,7:10
66,32,0,0.0,,0,0,,0,0,0,0,19,0,0.0,,0,2,Jason LaBarbera,0,2.8,0,G,,0,,0,Phoenix Coyotes,1015,53:24
67,28,0,0.0,,,,,,0,0,0,2,0,0.0,,0,0,Curtis McElhinney,0,0.4,0,G,,0,,0,Phoenix Coyotes,72,35:53
68,23,0,-0.1,0,0,21,25.0,7,0,11,0,7,0,-0.2,0,0,6,Andy Miele,-3,-0.2,0,C,0,0,0.0,4,Phoenix Coyotes,63,8:56
69,22,0,0.0,0,1,30,41.2,21,0,2,0,6,0,-0.2,0,0,4,Kyle Turris,-2,-0.2,0,C,0,0,0.0,9,Phoenix Coyotes,76,12:45
70,25,0,0.0,0,0,5,0.0,0,0,1,0,1,0,0.0,0,0,0,Matt Watkins,-1,-0.1,0,RW,0,0,,0,Phoenix Coyotes,7,6:37
71,20,38,2.5,28,17,60,43.4,46,24,26,7,81,29,7.2,10,5,30,Tyler Seguin,34,9.7,67,C,0,0,12.0,242,Boston Bruins,1372,16:56
72,26,42,2.7,32,67,668,59.3,973,15,73,3,81,22,5.7,9,5,20,Patrice Bergeron,36,8.3,64,C,1,2,11.5,191,Boston Bruins,1505,18:35
73,25,39,0.9,30,46,501,52.1,544,21,69,2,79,23,5.7,9,2,36,David Krejci,-5,6.6,62,C,0,0,15.9,145,Boston Bruins,1455,18:25
74,23,35,1.3,31,26,16,46.7,14,19,201,1,81,26,6.1,4,7,135,Milan Lucic,7,7.5,61,LW,0,0,17.4,149,Boston Bruins,1379,17:02
75,23,27,2.3,24,21,4,55.6,5,22,72,3,76,28,5.8,1,5,87,Brad Marchand,31,8.1,55,C,2,1,16.8,167,Boston Bruins,1339,17:37
76,34,40,5.9,29,87,1,0.0,0,4,166,0,79,12,5.1,10,8,86,Zdeno Chara,33,10.9,52,D,1,0,5.4,224,Boston Bruins,1975,25:00
77,29,31,1.6,19,13,129,61.1,203,10,23,1,57,11,3.4,10,1,22,Rich Peverley,20,5.0,42,C,2,0,9.8,112,Boston Bruins,963,16:54
78,31,19,2.3,19,56,390,51.8,419,17,79,6,82,20,3.4,0,1,41,Chris Kelly,33,5.7,39,C,0,2,16.4,122,Boston Bruins,1208,14:44
79,26,15,0.6,13,11,1,66.7,2,11,32,3,46,17,3.6,2,6,54,Nathan Horton,0,4.1,32,C,0,0,18.9,90,Boston Bruins,733,15:56
80,25,16,1.5,15,14,10,44.4,8,15,97,5,74,16,3.0,1,1,38,Benoit Pouliot,18,4.4,32,LW,0,0,15.0,107,Boston Bruins,904,12:13
81,34,21,3.0,13,56,0,,0,3,27,1,75,4,1.7,8,1,13,Joe Corvo,10,4.7,25,D,0,0,2.4,168,Boston Bruins,1411,18:49
82,32,18,2.9,15,81,0,100.0,1,6,68,1,72,6,1.9,2,0,46,Andrew Ference,9,4.7,24,D,1,0,5.6,107,Boston Bruins,1360,18:53
83,30,18,4.2,8,151,0,,0,5,154,2,80,5,1.0,8,0,39,Dennis Seidenberg,15,5.2,23,D,2,0,2.9,174,Boston Bruins,1923,24:02
84,28,8,0.6,8,53,334,50.7,344,8,107,0,78,8,-0.1,0,0,80,Gregory Campbell,-3,0.5,16,C,0,0,10.8,74,Boston Bruins,998,12:48
85,27,6,0.4,6,24,5,28.6,2,7,59,1,69,9,0.5,0,0,15,Daniel Paille,-5,0.9,15,LW,0,2,10.5,86,Boston Bruins,793,11:30
86,21,8,0.4,8,15,1,50.0,1,7,64,0,48,7,1.0,0,0,14,Jordan Caron,0,1.4,15,RW,0,0,12.3,57,Boston Bruins,553,11:32
87,28,10,4.7,10,133,0,,0,5,145,2,77,5,0.4,0,0,53,Johnny Boychuk,27,5.2,15,D,0,0,2.9,171,Boston Bruins,1587,20:37
88,38,12,0.5,10,7,25,51.0,26,2,30,1,21,3,1.2,2,1,8,Brian Rolston,7,1.7,15,C,0,0,7.7,39,Boston Bruins,306,14:33
89,34,8,0.3,8,12,22,42.1,16,4,91,0,81,5,0.0,0,0,154,Shawn Thornton,-7,0.2,13,RW,0,1,4.4,114,Boston Bruins,744,9:11
90,25,8,3.0,8,101,0,,0,2,104,0,72,2,0.1,0,0,99,Adam McQuaid,16,3.1,10,D,0,0,3.2,63,Boston Bruins,1077,14:57
91,31,1,0.8,1,32,0,,0,1,39,1,17,1,0.0,0,0,4,Greg Zanon,4,0.8,2,D,0,0,7.1,14,Boston Bruins,270,15:54
92,23,2,0.3,2,4,16,48.4,15,0,13,0,16,0,-0.3,0,0,4,Zach Hamill,3,0.0,2,C,0,0,0.0,13,Boston Bruins,176,10:59
93,23,2,0.7,2,8,0,,0,0,7,0,10,0,0.1,0,0,4,Steven Kampfer,6,0.8,2,D,0,0,0.0,8,Boston Bruins,105,10:30
94,23,0,0.1,0,2,8,42.9,6,1,1,0,3,1,0.2,0,0,0,Carter Camper,1,0.2,1,C,0,0,100.0,1,Boston Bruins,20,6:42
95,20,1,0.1,1,4,0,,0,0,0,0,2,0,0.1,0,0,0,Torey Krug,0,0.1,1,D,0,0,0.0,3,Boston Bruins,34,17:08
96,37,1,0.0,,0,0,,0,0,1,0,59,0,0.0,,0,0,Tim Thomas,0,11.5,1,G,,0,,0,Boston Bruins,3352,56:48
97,23,0,-0.1,0,2,0,,0,0,5,0,3,0,0.0,0,0,0,Matt Bartkowski,-2,-0.2,0,D,0,0,,0,Boston Bruins,18,6:08
98,26,0,0.1,0,0,5,61.5,8,0,2,0,3,0,-0.1,0,0,2,Josh Hennessy,1,0.0,0,C,0,0,0.0,2,Boston Bruins,20,6:46
99,25,0,0.0,,,,,,0,0,0,1,0,0.0,,0,0,Anton Khudobin,0,0.6,0,G,,0,,0,Boston Bruins,60,60:00
100,22,0,-0.1,0,3,0,,0,0,10,0,5,0,-0.1,0,0,5,Lane MacDermid,-2,-0.2,0,D,0,0,0.0,6,Boston Bruins,45,8:54
101,33,0,0.0,0,5,0,,0,0,11,0,6,0,-0.1,0,0,0,Mike Mottau,-1,-0.1,0,D,0,0,0.0,3,Boston Bruins,82,13:36
102,24,0,0.0,,0,0,,0,0,0,0,23,0,0.0,,0,2,Tuukka Rask,0,4.9,0,G,,0,,0,Boston Bruins,1289,56:04
103,22,0,0.0,0,0,0,,0,0,0,0,1,0,0.0,0,0,0,Max Sauve,0,0.0,0,C,0,0,,0,Boston Bruins,4,3:43
104,36,0,0.0,,0,0,,0,0,0,0,5,0,0.0,,0,2,Marty Turco,0,-0.1,0,G,,0,,0,Boston Bruins,261,52:07
105,34,0,0.0,0,3,0,,0,0,2,0,1,0,0.0,0,0,0,Trent Whitfield,0,0.0,0,C,0,0,0.0,1,Boston Bruins,14,13:59
106,29,43,1.4,24,52,196,47.7,179,20,30,5,82,30,7.1,18,8,12,Jason Pominville,-7,8.4,73,RW,1,2,12.8,235,Buffalo Sabres,1614,19:41
107,28,35,1.1,21,22,3,50.0,3,16,34,5,78,26,6.1,14,10,52,Thomas Vanek,-6,7.2,61,LW,0,0,12.7,204,Buffalo Sabres,1321,16:56
108,26,30,1.7,26,22,41,52.3,45,16,102,4,80,20,3.9,4,3,46,Drew Stafford,5,5.6,50,RW,0,1,8.8,226,Buffalo Sabres,1412,17:39
109,28,27,1.3,21,50,657,50.6,672,10,35,2,80,17,2.5,6,6,54,Derek Roy,-7,3.8,44,C,0,1,9.7,176,Buffalo Sabres,1546,19:19
110,22,19,1.3,17,18,171,45.9,145,13,26,1,48,15,3.3,2,2,14,Tyler Ennis,11,4.6,34,C,0,0,18.3,82,Buffalo Sabres,776,16:10
111,29,27,3.2,15,82,0,,0,4,47,3,66,5,2.4,10,1,47,Christian Ehrhoff,-2,5.6,32,D,2,0,3.7,136,Buffalo Sabres,1522,23:03
112,28,17,1.1,17,28,135,41.3,95,7,41,1,71,8,0.5,0,1,16,Ville Leino,-2,1.6,25,LW,0,0,10.3,78,Buffalo Sabres,1131,15:55
113,24,19,1.0,17,13,12,36.8,7,6,53,2,62,6,1.0,1,0,32,Nathan Gerbe,2,2.0,25,C,1,0,4.4,137,Buffalo Sabres,881,14:12
114,31,14,4.2,10,128,0,,0,9,54,0,79,10,1.7,4,1,28,Jordan Leopold,4,6.0,24,D,0,0,9.1,110,Buffalo Sabres,1767,22:22
115,29,15,1.0,9,24,141,47.2,126,6,29,0,65,8,1.1,6,2,6,Brad Boyes,2,2.0,23,C,0,0,8.0,100,Buffalo Sabres,856,13:10
116,21,15,3.2,11,70,0,,0,5,78,1,55,8,2.0,4,3,33,Tyler Myers,5,5.2,23,D,0,0,9.5,84,Buffalo Sabres,1237,22:29
117,21,10,0.4,7,15,145,44.0,114,10,26,0,52,10,1.6,3,0,14,Luke Adam,-6,2.0,20,LW,0,0,11.2,89,Buffalo Sabres,645,12:24
118,29,10,0.8,9,40,376,56.8,495,7,98,3,56,7,0.3,0,0,70,Paul Gaustad,-1,1.1,17,C,1,0,11.3,62,Buffalo Sabres,845,15:05
119,20,7,0.5,6,11,3,0.0,0,4,44,1,14,6,1.5,1,2,9,Marcus Foligno,6,2.0,13,LW,0,0,26.1,23,Buffalo Sabres,221,15:49
120,25,10,3.2,10,93,1,0.0,0,2,56,0,69,3,0.2,0,1,18,Andrej Sekera,3,3.4,13,D,0,0,3.4,88,Buffalo Sabres,1353,19:36
121,24,11,1.2,5,27,0,100.0,1,0,12,0,44,1,-0.6,6,1,20,Marc-Andre Gragnani,10,0.6,12,LW,0,0,2.9,35,Buffalo Sabres,721,16:23
122,25,5,0.7,5,46,9,52.6,10,5,139,1,63,5,-0.7,0,0,116,Patrick Kaleta,-5,0.0,10,RW,0,0,7.2,69,Buffalo Sabres,829,13:09
123,34,4,0.4,4,9,164,45.3,136,3,14,0,22,4,0.3,0,0,6,Jochen Hecht,1,0.7,8,C,0,1,10.0,40,Buffalo Sabres,370,16:50
124,30,5,0.5,5,17,127,48.0,117,3,34,1,60,3,-0.4,0,0,25,Matt Ellis,-3,0.1,8,LW,0,0,3.5,85,Buffalo Sabres,583,9:43
125,21,5,0.1,3,8,144,51.4,152,1,12,1,20,3,0.3,2,2,2,Cody Hodgson,-7,0.3,8,C,0,0,5.9,51,Buffalo Sabres,345,17:16
126,27,5,0.8,4,24,0,,0,3,11,0,15,3,0.9,1,0,6,Alexander Sulzer,2,1.7,8,D,0,0,13.6,22,Buffalo Sabres,290,19:18
127,22,5,0.4,5,20,5,0.0,0,3,47,1,34,3,0.3,0,0,20,Corey Tropp,0,0.6,8,RW,0,0,9.4,32,Buffalo Sabres,343,10:05
128,21,7,0.9,7,30,0,,0,0,49,0,25,1,0.5,0,1,15,Brayden McNabb,-1,1.4,8,D,0,0,4.3,23,Buffalo Sabres,446,17:50
129,21,4,0.3,3,1,7,50.0,7,3,39,0,27,3,0.2,1,0,20,Zack Kassian,-1,0.5,7,RW,0,0,8.3,36,Buffalo Sabres,322,11:56
130,31,4,2.1,4,112,0,,0,1,172,0,76,1,-1.0,0,0,56,Robyn Regehr,-12,1.1,5,D,0,0,2.0,49,Buffalo Sabres,1416,18:38
131,24,4,0.5,4,90,0,,0,1,123,0,51,1,-0.4,0,0,64,Mike Weber,-19,0.0,5,D,0,0,2.0,51,Buffalo Sabres,947,18:35
132,28,3,0.1,3,11,9,47.1,8,1,67,0,50,1,-0.6,0,0,56,Cody McCormick,-7,-0.4,4,C,0,0,2.3,43,Buffalo Sabres,392,7:50
133,26,3,0.1,3,3,39,41.8,28,1,7,0,9,1,0.3,0,0,4,Paul Szczechura,0,0.4,4,C,0,0,9.1,11,Buffalo Sabres,103,11:26
134,22,0,0.3,0,6,0,,0,1,20,0,11,1,0.0,0,0,6,T.J. Brennan,0,0.4,1,D,0,0,7.1,14,Buffalo Sabres,155,14:07
135,25,0,0.0,0,2,5,50.0,5,1,7,0,3,1,0.2,0,0,5,Travis Turnbull,0,0.2,1,C,0,0,33.3,3,Buffalo Sabres,15,4:55
136,23,0,0.0,,0,0,,0,0,0,0,26,0,0.0,,0,2,Jhonas Enroth,0,4.9,0,G,,0,,0,Buffalo Sabres,1399,53:49
137,24,0,-0.2,0,0,0,,0,0,3,0,5,0,0.0,0,0,12,Joe Finley,-3,-0.2,0,D,0,0,0.0,1,Buffalo Sabres,39,7:48
138,28,0,0.0,,,,,,0,0,0,2,0,0.0,,0,0,Drew MacIntyre,0,0.2,0,G,,0,,0,Buffalo Sabres,43,21:45
139,31,0,0.0,,0,0,,0,0,0,0,61,0,0.0,,0,0,Ryan Miller,0,11.4,0,G,,0,,0,Buffalo Sabres,3536,57:58
140,29,0,-0.1,0,0,0,,0,0,0,0,2,0,0.0,0,0,0,Colin Stuart,-3,-0.2,0,LW,0,0,,0,Buffalo Sabres,12,6:12
141,27,0,0.0,0,1,0,,0,0,3,0,2,0,-0.1,0,0,0,Derek Whitmore,0,0.0,0,LW,0,0,0.0,2,Buffalo Sabres,25,12:31
142,34,35,1.7,24,43,212,50.2,214,24,124,5,82,32,6.6,11,8,43,Jarome Iginla,-10,8.3,67,RW,0,0,12.7,251,Calgary Flames,1690,20:36
143,33,38,1.5,23,31,713,46.5,620,14,53,5,82,23,5.2,15,9,54,Olli Jokinen,-12,6.7,61,C,0,0,10.3,223,Calgary Flames,1555,18:58
144,32,36,1.9,21,47,42,37.3,25,11,22,3,64,13,3.6,14,1,28,Alex Tanguay,7,5.5,49,LW,1,1,15.5,84,Calgary Flames,1219,19:03
145,29,22,1.0,16,49,41,50.0,41,17,81,3,67,26,5.1,5,8,62,Curtis Glencross,-13,6.0,48,LW,1,1,23.6,110,Calgary Flames,1208,18:01
146,28,24,3.4,16,118,0,,0,3,69,1,82,5,1.4,8,2,26,Jay Bouwmeester,-21,4.8,29,D,0,0,4.7,107,Calgary Flames,2129,25:57
147,28,14,1.2,11,22,19,26.9,7,12,55,2,61,14,2.0,3,2,16,Lee Stempniak,-2,3.2,28,RW,0,0,10.8,130,Calgary Flames,990,16:14
148,28,18,3.4,12,127,0,,0,4,84,0,61,9,2.5,5,5,75,Mark Giordano,0,5.9,27,D,1,0,7.2,125,Calgary Flames,1404,23:01
149,29,8,0.5,4,10,105,47.2,94,9,10,2,28,11,2.0,4,2,16,Mike Cammalleri,-4,2.5,19,C,0,0,17.2,64,Calgary Flames,518,18:30
150,28,10,0.9,8,33,308,51.8,331,8,49,1,61,8,0.7,2,0,29,Matt Stajan,-3,1.6,18,C,0,0,10.4,77,Calgary Flames,794,13:01
151,30,3,0.7,1,10,4,69.2,9,10,48,1,38,13,1.5,2,3,41,Rene Bourque,-3,2.2,16,LW,0,0,14.3,91,Calgary Flames,652,17:10
152,25,10,1.2,10,18,56,32.5,27,5,108,0,58,5,-0.4,0,0,24,Blake Comeau,0,0.8,15,RW,0,0,4.3,117,Calgary Flames,934,16:06
153,25,13,2.8,10,115,0,,0,2,70,0,68,2,0.2,3,0,34,Chris Butler,-9,3.0,15,D,0,0,3.2,62,Calgary Flames,1469,21:36
154,21,12,2.4,7,38,0,,0,1,43,2,54,2,0.8,5,1,14,T.J. Brodie,3,3.2,14,D,0,0,4.5,44,Calgary Flames,890,16:29
155,33,8,0.6,8,48,59,29.8,25,2,124,1,81,4,-1.0,0,1,57,Tom Kostopoulos,-15,-0.4,12,RW,0,1,4.4,91,Calgary Flames,998,12:19
156,33,10,3.0,9,126,0,100.0,1,2,60,0,78,2,-0.3,0,0,38,Scott Hannan,-10,2.7,12,D,1,0,4.1,49,Calgary Flames,1588,20:21
157,22,7,0.2,6,19,271,45.4,225,2,25,2,41,4,-0.1,1,2,16,Mikael Backlund,-13,0.2,11,C,0,0,4.7,85,Calgary Flames,631,15:23
