,Adjusted Cap Hit,Age,Base Salary,Cap Percentage,Performance Bonus,Player,Position,Signing Bonus,Team,Total Cap Hit,Total Salary
0,"$8,625,000 ",32,"$7,500,000",11.54,-,Corey Perry,RW,"$2,500,000",Anaheim Ducks 2017-2018 Salary Cap ,"$8,625,000 ","$10,000,000"
1,"$8,250,000 ",32,"$9,025,000",11.04,-,Ryan Getzlaf,C,-,Anaheim Ducks 2017-2018 Salary Cap ,"$8,250,000 ","$9,025,000"
2,"$6,875,000 ",33,"$6,675,000",9.20,-,Ryan Kesler,C,-,Anaheim Ducks 2017-2018 Salary Cap ,"$6,875,000 ","$6,675,000"
3,"$5,250,000 ",23,"$6,000,000",7.03,-,Hampus Lindholm,D,-,Anaheim Ducks 2017-2018 Salary Cap ,"$5,250,000 ","$6,000,000"
4,"$4,000,000 ",27,"$5,000,000",5.35,-,Adam Henrique,C,-,Anaheim Ducks 2017-2018 Salary Cap ,"$4,000,000 ","$3,449,197"
5,"$4,000,000 ",25,"$4,000,000",5.35,-,Cam Fowler,D,-,Anaheim Ducks 2017-2018 Salary Cap ,"$4,000,000 ","$4,000,000"
6,"$3,789,444 ",24,"$3,800,000",5.07,-,Rickard Rakell,C,-,Anaheim Ducks 2017-2018 Salary Cap ,"$3,789,444 ","$3,800,000"
7,"$3,750,000 ",26,"$3,750,000",5.02,-,Jakob Silfverberg,RW,-,Anaheim Ducks 2017-2018 Salary Cap ,"$3,750,000 ","$3,750,000"
8,"$2,300,000 ",24,"$2,100,000",3.08,-,John Gibson,G,-,Anaheim Ducks 2017-2018 Salary Cap ,"$2,300,000 ","$2,100,000"
9,"$2,250,000 ",38,"$2,500,000",3.01,-,Jason Chimera,LW,-,Anaheim Ducks 2017-2018 Salary Cap ,"$2,250,000 ","$551,081"
10,"$2,000,000 ",37,"$2,000,000",2.68,-,Ryan Miller,G,-,Anaheim Ducks 2017-2018 Salary Cap ,"$2,000,000 ","$2,000,000"
11,"$1,750,000 ",35,"$1,750,000",2.34,-,Antoine Vermette,C,-,Anaheim Ducks 2017-2018 Salary Cap ,"$1,750,000 ","$1,750,000"
12,"$1,250,000 ",27,"$1,250,000",1.67,-,J.T. Brown,RW,-,Anaheim Ducks 2017-2018 Salary Cap ,"$1,250,000 ","$564,480"
13,"$1,000,000 ",37,"$1,000,000",1.34,"$500,000",Francois Beauchemin,D,-,Anaheim Ducks 2017-2018 Salary Cap ,"$1,000,000 ","$1,000,000"
14,"$925,000 ",24,"$832,500",1.24,-,Brandon Montour,D,"$92,500",Anaheim Ducks 2017-2018 Salary Cap ,"$925,000 ","$925,000"
15,"$925,000 ",20,"$832,500",1.24,-,Troy Terry,RW,"$92,500",Anaheim Ducks 2017-2018 Salary Cap ,"$925,000 ","$92,500"
16,"$894,166 ",21,"$832,500",1.20,"$850,000",Nicholas Ritchie,LW,-,Anaheim Ducks 2017-2018 Salary Cap ,"$894,166 ","$832,500"
17,"$825,000 ",25,"$825,000",1.10,-,Josh Manson,D,-,Anaheim Ducks 2017-2018 Salary Cap ,"$825,000 ","$825,000"
18,"$759,723 ",29,"$900,000",1.02,-,Korbinian Holzer,D,-,Anaheim Ducks 2017-2018 Salary Cap ,"$900,000 ","$755,614"
19,"$666,370 ",21,"$650,000",0.89,-,Ondrej Kase,RW,"$70,000",Anaheim Ducks 2017-2018 Salary Cap ,"$670,000 ","$716,575"
20,"$650,000 ",27,"$650,000",0.87,-,Derek Grant,LW,-,Anaheim Ducks 2017-2018 Salary Cap ,"$650,000 ","$650,000"
21,"$282,258 ",36,"$1,250,000",0.38,-,Chris Kelly,C,-,Anaheim Ducks 2017-2018 Salary Cap ,"$1,250,000 ","$282,258"
22,"$239,120 ",21,"$732,500",0.32,-,Marcus Pettersson,D,"$92,500",Anaheim Ducks 2017-2018 Salary Cap ,"$794,167 ","$311,858"
23,"$198,920 ",24,"$832,500",0.27,"$850,000",Andy Welinski,D,"$92,500",Anaheim Ducks 2017-2018 Salary Cap ,"$925,000 ","$270,574"
24,"$6,500,000 ",27,"$7,000,000",11.32,-,Derek Stepan,C,-,Arizona Coyotes 2017-2018 Salary Cap ,"$6,500,000 ","$7,000,000"
25,"$5,500,000 ",26,"$6,500,000",9.58,-,Oliver Ekman-Larsson,D,-,Arizona Coyotes 2017-2018 Salary Cap ,"$5,500,000 ","$6,500,000"
26,"$5,475,000 ",32,"$6,100,000",9.53,-,Alex Goligoski,D,-,Arizona Coyotes 2017-2018 Salary Cap ,"$5,475,000 ","$6,100,000"
27,"$4,100,000 ",30,"$4,000,000",7.14,-,Niklas Hjalmarsson,D,-,Arizona Coyotes 2017-2018 Salary Cap ,"$4,100,000 ","$4,000,000"
28,"$3,937,500 ",29,"$4,725,000",6.85,-,Jason Demers,D,-,Arizona Coyotes 2017-2018 Salary Cap ,"$3,937,500 ","$4,725,000"
29,"$2,800,000 ",26,"$2,800,000",4.87,-,Richard Panik,RW,-,Arizona Coyotes 2017-2018 Salary Cap ,"$2,800,000 ","$1,324,752"
30,"$2,083,333 ",32,"$2,250,000",3.63,-,Brad Richardson,RW,-,Arizona Coyotes 2017-2018 Salary Cap ,"$2,083,333 ","$2,250,000"
31,"$1,800,000 ",25,"$1,750,000",3.13,-,Jordan Martinook,LW,-,Arizona Coyotes 2017-2018 Salary Cap ,"$1,800,000 ","$1,750,000"
32,"$1,250,000 ",27,"$1,500,000",2.18,-,Luke Schenn,D,-,Arizona Coyotes 2017-2018 Salary Cap ,"$1,250,000 ","$1,500,000"
33,"$1,000,000 ",27,"$1,050,000",1.74,-,Kevin Connauton,D,-,Arizona Coyotes 2017-2018 Salary Cap ,"$1,000,000 ","$1,050,000"
34,"$1,000,000 ",28,"$1,000,000",1.74,-,Antti Raanta,G,-,Arizona Coyotes 2017-2018 Salary Cap ,"$1,000,000 ","$1,000,000"
35,"$1,000,000 ",24,"$950,000",1.74,-,Nick Cousins,C,-,Arizona Coyotes 2017-2018 Salary Cap ,"$1,000,000 ","$950,000"
36,"$925,000 ",19,"$832,500",1.61,"$425,000",Jakob Chychrun,D,"$92,500",Arizona Coyotes 2017-2018 Salary Cap ,"$925,000 ","$1,257,500"
37,"$885,833 ",19,"$832,500",1.54,"$662,500",Clayton Keller,C,"$92,500",Arizona Coyotes 2017-2018 Salary Cap ,"$885,833 ","$832,500"
38,"$863,333 ",22,"$832,500",1.50,"$500,000",Max Domi,LW,-,Arizona Coyotes 2017-2018 Salary Cap ,"$863,333 ",-
39,"$863,333 ",21,"$832,500",1.50,"$500,000",Brendan Perlini,LW,-,Arizona Coyotes 2017-2018 Salary Cap ,"$863,333 ","$832,500"
40,"$839,166 ",21,"$800,000",1.46,"$212,500",Christian Dvorak,C,"$92,500",Arizona Coyotes 2017-2018 Salary Cap ,"$839,166 ","$892,500"
41,"$821,666 ",20,"$725,000",1.43,"$320,000",Christian Fischer,C,"$92,500",Arizona Coyotes 2017-2018 Salary Cap ,"$821,666 ","$817,500"
42,"$700,000 ",27,"$700,000",1.22,-,Zac Rinaldo,LW,-,Arizona Coyotes 2017-2018 Salary Cap ,"$700,000 ","$700,000"
43,"$650,000 ",27,"$650,000",1.13,-,Darcy Kuemper,G,-,Arizona Coyotes 2017-2018 Salary Cap ,"$650,000 ","$160,770"
44,"$612,500 ",25,"$650,000",1.07,-,Freddie Hamilton,C,-,Arizona Coyotes 2017-2018 Salary Cap ,"$612,500 ","$323,262"
45,"$393,449 ",24,"$650,000",0.68,-,Josh Archibald,RW,-,Arizona Coyotes 2017-2018 Salary Cap ,"$675,000 ","$378,877"
46,"$164,205 ",22,"$750,000",0.29,"$82,500",Laurent Dauphin,C,-,Arizona Coyotes 2017-2018 Salary Cap ,"$745,000 ","$164,438"
