,age,assists,dps,es_assists,es_blocks,es_faceoff_losses,es_faceoff_pct,es_faceoff_wins,es_goals,es_hits,games_played,goals,gw_goals,ops,penalty_minutes,player,plus_minus,point_shares,points,position,pp_assists,pp_goals,sh_assists,sh_goals,shot_pct,shots,team,toi,toi_avg,year
18,26,3,0.0,3.0,16.0,5.0,0.0,0.0,2,48,37,2,0,-0.4,6,Andrew Gordon,-10,-0.3,5,RW,0.0,0,0.0,0,5.3,38,Anaheim Ducks,402,10:51,2012
19,23,3,0.2,3.0,4.0,111.0,49.8,110.0,1,17,29,1,1,-0.3,18,Maxime Macenauer,-4,-0.1,4,C,0.0,0,0.0,0,7.1,14,Anaheim Ducks,314,10:49,2012
20,32,3,0.4,3.0,16.0,0.0,,0.0,1,57,46,1,0,-0.3,85,George Parros,1,0.1,4,RW,0.0,0,0.0,0,5.9,17,Anaheim Ducks,293,6:23,2012
21,21,4,-0.1,4.0,13.0,36.0,37.9,22.0,0,20,25,0,0,-0.3,20,Brandon McMillan,-10,-0.4,4,LW,0.0,0,0.0,0,0.0,26,Anaheim Ducks,280,11:13,2012
22,27,1,0.3,1.0,19.0,122.0,50.0,122.0,2,69,45,2,0,-0.5,9,Rod Pelley,-3,-0.2,3,C,0.0,0,0.0,0,4.9,41,Anaheim Ducks,360,8:00,2012
23,29,0,0.9,0.0,17.0,0.0,,0.0,2,26,15,2,1,0.3,6,Nate Guenin,6,1.2,2,D,0.0,0,0.0,0,40.0,5,Anaheim Ducks,167,11:09,2012
24,30,1,-0.1,0.0,5.0,0.0,,0.0,1,16,9,1,0,0.2,8,Kurtis Foster,-5,0.1,2,D,1.0,0,0.0,0,6.3,16,Anaheim Ducks,136,15:07,2012
25,21,0,0.0,0.0,1.0,11.0,38.9,7.0,1,4,4,1,1,0.1,2,Peter Holland,0,0.2,1,C,0.0,0,0.0,0,100.0,1,Anaheim Ducks,31,7:42,2012
26,31,1,0.0,,0.0,0.0,,0.0,0,0,10,0,0,0.0,0,Dan Ellis,0,1.2,1,G,,0,,0,,0,Anaheim Ducks,419,41:52,2012
27,29,1,0.0,,0.0,0.0,,0.0,0,0,73,0,0,0.0,0,Jonas Hiller,0,11.4,1,G,,0,,0,,0,Anaheim Ducks,4253,58:15,2012
28,23,1,0.1,1.0,1.0,18.0,47.1,16.0,0,8,6,0,0,0.0,2,Ben Maxwell,1,0.1,1,C,0.0,0,0.0,0,0.0,6,Anaheim Ducks,47,7:45,2012
29,31,0,0.0,0.0,0.0,10.0,54.5,12.0,0,7,5,0,0,-0.1,5,Mark Bell,0,-0.1,0,LW,0.0,0,0.0,0,,0,Anaheim Ducks,32,6:26,2012
30,21,0,-0.1,0.0,2.0,0.0,,0.0,0,2,2,0,0,0.0,0,Mat Clark,-2,-0.1,0,D,0.0,0,0.0,0,0.0,2,Anaheim Ducks,22,11:02,2012
31,27,0,0.0,,0.0,0.0,,0.0,0,0,4,0,0,0.0,0,Jeff Deslauriers,0,0.5,0,G,,0,,0,,0,Anaheim Ducks,241,60:18,2012
32,26,0,0.1,0.0,0.0,0.0,,0.0,0,6,6,0,0,-0.1,12,Jean-Francois Jacques,2,0.0,0,LW,0.0,0,0.0,0,0.0,7,Anaheim Ducks,40,6:37,2012
33,23,0,0.0,0.0,1.0,0.0,,0.0,0,4,2,0,0,-0.1,2,Patrick Maroon,0,0.0,0,LW,0.0,0,0.0,0,0.0,1,Anaheim Ducks,25,12:33,2012
34,24,0,0.0,0.0,3.0,4.0,50.0,4.0,0,5,2,0,0,0.0,0,Ryan O'Marra,-1,-0.1,0,C,0.0,0,0.0,0,0.0,4,Anaheim Ducks,16,8:10,2012
35,26,0,0.0,,,,,,0,0,1,0,0,0.0,0,Iiro Tarkki,0,-0.2,0,G,,0,,0,,0,Anaheim Ducks,41,40:51,2012
36,39,53,2.8,41.0,10.0,11.0,26.7,4.0,16,28,82,24,1,6.9,28,Ray Whitney,26,9.7,77,LW,12.0,8,0.0,0,13.0,185,Phoenix Coyotes,1529,18:39,2012
37,30,27,2.6,19.0,16.0,40.0,40.3,27.0,25,57,77,35,12,6.8,24,Radim Vrbata,24,9.3,62,RW,8.0,9,0.0,1,15.1,232,Phoenix Coyotes,1435,18:39,2012
38,35,28,1.3,18.0,27.0,26.0,55.9,33.0,17,205,79,22,5,3.6,48,Shane Doan,-8,5.0,50,RW,9.0,5,1.0,0,9.7,226,Phoenix Coyotes,1548,19:36,2012
39,25,32,4.3,21.0,77.0,0.0,,0.0,11,31,82,11,2,3.9,51,Keith Yandle,5,8.1,43,D,11.0,0,0.0,0,5.6,196,Phoenix Coyotes,1832,22:20,2012
40,25,20,1.6,18.0,43.0,64.0,26.4,23.0,14,91,82,17,3,2.0,14,Lauri Korpikoski,3,3.7,37,LW,2.0,0,0.0,3,11.6,146,Phoenix Coyotes,1405,17:08,2012
41,24,26,1.8,18.0,32.0,526.0,52.1,571.0,5,239,64,8,2,1.3,63,Martin Hanzal,12,3.1,34,C,8.0,3,0.0,0,5.5,145,Phoenix Coyotes,1180,18:27,2012
42,20,19,3.8,13.0,92.0,0.0,,0.0,10,140,82,13,2,2.9,32,Oliver Ekman-Larsson,0,6.7,32,D,6.0,2,0.0,1,8.8,147,Phoenix Coyotes,1813,22:07,2012
43,35,19,1.1,16.0,50.0,551.0,44.5,441.0,10,87,73,11,1,1.3,14,Daymond Langkow,-4,2.4,30,C,2.0,1,1.0,0,9.8,112,Phoenix Coyotes,1150,15:45,2012
44,30,11,1.0,11.0,21.0,8.0,46.7,7.0,14,128,79,15,1,2.0,83,Raffi Torres,2,3.1,26,LW,0.0,1,0.0,0,15.2,99,Phoenix Coyotes,898,11:22,2012
45,22,13,1.1,12.0,21.0,1.0,50.0,1.0,11,108,82,11,2,0.7,12,Mikkel Boedker,-2,1.8,24,LW,1.0,0,0.0,0,12.8,86,Phoenix Coyotes,1118,13:38,2012
46,28,15,1.7,13.0,86.0,508.0,56.8,669.0,7,48,75,8,2,0.1,10,Boyd Gordon,9,1.7,23,RW,0.0,0,2.0,1,7.0,114,Phoenix Coyotes,1194,15:56,2012
47,30,10,0.8,9.0,20.0,5.0,54.5,6.0,9,137,73,9,1,0.6,23,Taylor Pyatt,-4,1.4,19,LW,1.0,0,0.0,0,8.1,111,Phoenix Coyotes,899,12:19,2012
48,25,13,0.7,13.0,14.0,190.0,47.7,173.0,3,67,53,3,0,0.5,42,Kyle Chipchura,2,1.2,16,C,0.0,0,0.0,0,7.0,43,Phoenix Coyotes,558,10:32,2012
49,25,9,0.7,9.0,13.0,13.0,38.1,8.0,4,55,33,5,0,1.0,11,Gilbert Brule,7,1.7,14,C,0.0,1,0.0,0,8.9,56,Phoenix Coyotes,382,11:34,2012
50,29,10,3.8,10.0,150.0,1.0,50.0,1.0,3,112,65,3,0,0.3,54,Rostislav Klesla,13,4.1,13,D,0.0,0,0.0,0,3.4,87,Phoenix Coyotes,1258,19:22,2012
51,33,12,2.9,12.0,91.0,0.0,,0.0,1,62,54,1,0,0.3,34,Michal Rozsival,8,3.2,13,D,0.0,0,0.0,0,2.0,49,Phoenix Coyotes,1044,19:20,2012
52,33,9,1.3,8.0,78.0,0.0,,0.0,2,95,59,2,0,0.1,38,Derek Morris,-12,1.4,11,D,1.0,0,0.0,0,2.8,72,Phoenix Coyotes,1120,18:59,2012
53,24,10,2.4,10.0,88.0,0.0,,0.0,1,52,46,1,0,0.3,10,David Schlemko,7,2.7,11,D,0.0,0,0.0,0,1.7,58,Phoenix Coyotes,844,18:21,2012
54,29,7,0.6,7.0,16.0,144.0,57.1,192.0,1,58,22,3,1,0.4,16,Antoine Vermette,4,1.0,10,C,0.0,2,0.0,0,7.0,43,Phoenix Coyotes,377,17:07,2012
55,38,7,3.9,7.0,67.0,0.0,,0.0,1,97,64,2,0,-0.3,42,Adrian Aucoin,14,3.6,9,D,0.0,1,0.0,0,2.2,92,Phoenix Coyotes,1296,20:15,2012
56,25,3,0.1,3.0,9.0,94.0,44.7,76.0,1,3,22,2,0,0.0,2,Cal O'Reilly,-5,0.1,5,C,0.0,1,0.0,0,15.4,13,Phoenix Coyotes,278,12:37,2012
57,26,2,0.1,1.0,4.0,4.0,55.6,5.0,2,7,23,2,0,-0.1,2,Patrick O'Sullivan,-4,0.0,4,C,1.0,0,0.0,0,5.9,34,Phoenix Coyotes,254,11:03,2012
58,26,4,0.1,4.0,1.0,51.0,42.0,37.0,0,10,13,0,0,0.0,2,Marc Pouliot,-2,0.1,4,C,0.0,0,0.0,0,0.0,19,Phoenix Coyotes,145,11:11,2012
59,21,2,1.0,2.0,18.0,0.0,,0.0,1,16,13,1,0,0.2,2,Michael Stone,7,1.2,3,D,0.0,0,0.0,0,7.7,13,Phoenix Coyotes,180,13:53,2012
60,21,3,0.1,2.0,5.0,0.0,,0.0,0,11,6,0,0,0.2,0,David Rundblad,-1,0.3,3,D,1.0,0,0.0,0,0.0,8,Phoenix Coyotes,85,14:07,2012
61,23,3,0.2,3.0,19.0,0.0,,0.0,0,50,21,0,0,0.0,11,Chris Summers,-4,0.2,3,D,0.0,0,0.0,0,0.0,10,Phoenix Coyotes,261,12:27,2012
62,29,2,0.0,,0.0,0.0,,0.0,0,0,67,0,0,0.0,16,Mike Smith,0,16.7,2,G,,0,,0,0.0,1,Phoenix Coyotes,3903,58:15,2012
63,26,0,0.0,0.0,1.0,1.0,0.0,0.0,1,70,31,1,1,-0.3,41,Paul Bissonnette,-4,-0.3,1,LW,0.0,0,0.0,0,6.7,15,Phoenix Coyotes,188,6:04,2012
64,26,1,0.0,1.0,1.0,13.0,58.1,18.0,0,5,5,0,0,0.0,0,Petteri Nokelainen,-1,0.0,1,C,0.0,0,0.0,0,0.0,3,Phoenix Coyotes,55,10:58,2012
65,26,0,0.0,0.0,0.0,0.0,100.0,1.0,0,1,2,0,0,0.0,2,Alexandre Bolduc,-1,-0.1,0,C,0.0,0,0.0,0,0.0,1,Phoenix Coyotes,14,7:10,2012
66,32,0,0.0,,0.0,0.0,,0.0,0,0,19,0,0,0.0,2,Jason LaBarbera,0,2.8,0,G,,0,,0,,0,Phoenix Coyotes,1015,53:24,2012
67,28,0,0.0,,,,,,0,0,2,0,0,0.0,0,Curtis McElhinney,0,0.4,0,G,,0,,0,,0,Phoenix Coyotes,72,35:53,2012
68,23,0,-0.1,0.0,0.0,21.0,25.0,7.0,0,11,7,0,0,-0.2,6,Andy Miele,-3,-0.2,0,C,0.0,0,0.0,0,0.0,4,Phoenix Coyotes,63,8:56,2012
69,22,0,0.0,0.0,1.0,30.0,41.2,21.0,0,2,6,0,0,-0.2,4,Kyle Turris,-2,-0.2,0,C,0.0,0,0.0,0,0.0,9,Phoenix Coyotes,76,12:45,2012
70,25,0,0.0,0.0,0.0,5.0,0.0,0.0,0,1,1,0,0,0.0,0,Matt Watkins,-1,-0.1,0,RW,0.0,0,0.0,0,,0,Phoenix Coyotes,7,6:37,2012
71,20,38,2.5,28.0,17.0,60.0,43.4,46.0,24,26,81,29,7,7.2,30,Tyler Seguin,34,9.7,67,C,10.0,5,0.0,0,12.0,242,Boston Bruins,1372,16:56,2012
72,26,42,2.7,32.0,67.0,668.0,59.3,973.0,15,73,81,22,3,5.7,20,Patrice Bergeron,36,8.3,64,C,9.0,5,1.0,2,11.5,191,Boston Bruins,1505,18:35,2012
73,25,39,0.9,30.0,46.0,501.0,52.1,544.0,21,69,79,23,2,5.7,36,David Krejci,-5,6.6,62,C,9.0,2,0.0,0,15.9,145,Boston Bruins,1455,18:25,2012
74,23,35,1.3,31.0,26.0,16.0,46.7,14.0,19,201,81,26,1,6.1,135,Milan Lucic,7,7.5,61,LW,4.0,7,0.0,0,17.4,149,Boston Bruins,1379,17:02,2012
75,23,27,2.3,24.0,21.0,4.0,55.6,5.0,22,72,76,28,3,5.8,87,Brad Marchand,31,8.1,55,C,1.0,5,2.0,1,16.8,167,Boston Bruins,1339,17:37,2012
76,34,40,5.9,29.0,87.0,1.0,0.0,0.0,4,166,79,12,0,5.1,86,Zdeno Chara,33,10.9,52,D,10.0,8,1.0,0,5.4,224,Boston Bruins,1975,25:00,2012
77,29,31,1.6,19.0,13.0,129.0,61.1,203.0,10,23,57,11,1,3.4,22,Rich Peverley,20,5.0,42,C,10.0,1,2.0,0,9.8,112,Boston Bruins,963,16:54,2012
78,31,19,2.3,19.0,56.0,390.0,51.8,419.0,17,79,82,20,6,3.4,41,Chris Kelly,33,5.7,39,C,0.0,1,0.0,2,16.4,122,Boston Bruins,1208,14:44,2012
79,26,15,0.6,13.0,11.0,1.0,66.7,2.0,11,32,46,17,3,3.6,54,Nathan Horton,0,4.1,32,C,2.0,6,0.0,0,18.9,90,Boston Bruins,733,15:56,2012
80,25,16,1.5,15.0,14.0,10.0,44.4,8.0,15,97,74,16,5,3.0,38,Benoit Pouliot,18,4.4,32,LW,1.0,1,0.0,0,15.0,107,Boston Bruins,904,12:13,2012
81,34,21,3.0,13.0,56.0,0.0,,0.0,3,27,75,4,1,1.7,13,Joe Corvo,10,4.7,25,D,8.0,1,0.0,0,2.4,168,Boston Bruins,1411,18:49,2012
82,32,18,2.9,15.0,81.0,0.0,100.0,1.0,6,68,72,6,1,1.9,46,Andrew Ference,9,4.7,24,D,2.0,0,1.0,0,5.6,107,Boston Bruins,1360,18:53,2012
83,30,18,4.2,8.0,151.0,0.0,,0.0,5,154,80,5,2,1.0,39,Dennis Seidenberg,15,5.2,23,D,8.0,0,2.0,0,2.9,174,Boston Bruins,1923,24:02,2012
84,28,8,0.6,8.0,53.0,334.0,50.7,344.0,8,107,78,8,0,-0.1,80,Gregory Campbell,-3,0.5,16,C,0.0,0,0.0,0,10.8,74,Boston Bruins,998,12:48,2012
85,27,6,0.4,6.0,24.0,5.0,28.6,2.0,7,59,69,9,1,0.5,15,Daniel Paille,-5,0.9,15,LW,0.0,0,0.0,2,10.5,86,Boston Bruins,793,11:30,2012
86,21,8,0.4,8.0,15.0,1.0,50.0,1.0,7,64,48,7,0,1.0,14,Jordan Caron,0,1.4,15,RW,0.0,0,0.0,0,12.3,57,Boston Bruins,553,11:32,2012
87,28,10,4.7,10.0,133.0,0.0,,0.0,5,145,77,5,2,0.4,53,Johnny Boychuk,27,5.2,15,D,0.0,0,0.0,0,2.9,171,Boston Bruins,1587,20:37,2012
88,38,12,0.5,10.0,7.0,25.0,51.0,26.0,2,30,21,3,1,1.2,8,Brian Rolston,7,1.7,15,C,2.0,1,0.0,0,7.7,39,Boston Bruins,306,14:33,2012
89,34,8,0.3,8.0,12.0,22.0,42.1,16.0,4,91,81,5,0,0.0,154,Shawn Thornton,-7,0.2,13,RW,0.0,0,0.0,1,4.4,114,Boston Bruins,744,9:11,2012
90,25,8,3.0,8.0,101.0,0.0,,0.0,2,104,72,2,0,0.1,99,Adam McQuaid,16,3.1,10,D,0.0,0,0.0,0,3.2,63,Boston Bruins,1077,14:57,2012
91,31,1,0.8,1.0,32.0,0.0,,0.0,1,39,17,1,1,0.0,4,Greg Zanon,4,0.8,2,D,0.0,0,0.0,0,7.1,14,Boston Bruins,270,15:54,2012
92,23,2,0.3,2.0,4.0,16.0,48.4,15.0,0,13,16,0,0,-0.3,4,Zach Hamill,3,0.0,2,C,0.0,0,0.0,0,0.0,13,Boston Bruins,176,10:59,2012
93,23,2,0.7,2.0,8.0,0.0,,0.0,0,7,10,0,0,0.1,4,Steven Kampfer,6,0.8,2,D,0.0,0,0.0,0,0.0,8,Boston Bruins,105,10:30,2012
94,23,0,0.1,0.0,2.0,8.0,42.9,6.0,1,1,3,1,0,0.2,0,Carter Camper,1,0.2,1,C,0.0,0,0.0,0,100.0,1,Boston Bruins,20,6:42,2012
95,20,1,0.1,1.0,4.0,0.0,,0.0,0,0,2,0,0,0.1,0,Torey Krug,0,0.1,1,D,0.0,0,0.0,0,0.0,3,Boston Bruins,34,17:08,2012
96,37,1,0.0,,0.0,0.0,,0.0,0,1,59,0,0,0.0,0,Tim Thomas,0,11.5,1,G,,0,,0,,0,Boston Bruins,3352,56:48,2012
97,23,0,-0.1,0.0,2.0,0.0,,0.0,0,5,3,0,0,0.0,0,Matt Bartkowski,-2,-0.2,0,D,0.0,0,0.0,0,,0,Boston Bruins,18,6:08,2012
98,26,0,0.1,0.0,0.0,5.0,61.5,8.0,0,2,3,0,0,-0.1,2,Josh Hennessy,1,0.0,0,C,0.0,0,0.0,0,0.0,2,Boston Bruins,20,6:46,2012
99,25,0,0.0,,,,,,0,0,1,0,0,0.0,0,Anton Khudobin,0,0.6,0,G,,0,,0,,0,Boston Bruins,60,60:00,2012
100,22,0,-0.1,0.0,3.0,0.0,,0.0,0,10,5,0,0,-0.1,5,Lane MacDermid,-2,-0.2,0,D,0.0,0,0.0,0,0.0,6,Boston Bruins,45,8:54,2012
101,33,0,0.0,0.0,5.0,0.0,,0.0,0,11,6,0,0,-0.1,0,Mike Mottau,-1,-0.1,0,D,0.0,0,0.0,0,0.0,3,Boston Bruins,82,13:36,2012
102,24,0,0.0,,0.0,0.0,,0.0,0,0,23,0,0,0.0,2,Tuukka Rask,0,4.9,0,G,,0,,0,,0,Boston Bruins,1289,56:04,2012
103,22,0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,0,0.0,0,Max Sauve,0,0.0,0,C,0.0,0,0.0,0,,0,Boston Bruins,4,3:43,2012
104,36,0,0.0,,0.0,0.0,,0.0,0,0,5,0,0,0.0,2,Marty Turco,0,-0.1,0,G,,0,,0,,0,Boston Bruins,261,52:07,2012
105,34,0,0.0,0.0,3.0,0.0,,0.0,0,2,1,0,0,0.0,0,Trent Whitfield,0,0.0,0,C,0.0,0,0.0,0,0.0,1,Boston Bruins,14,13:59,2012
106,29,43,1.4,24.0,52.0,196.0,47.7,179.0,20,30,82,30,5,7.1,12,Jason Pominville,-7,8.4,73,RW,18.0,8,1.0,2,12.8,235,Buffalo Sabres,1614,19:41,2012
107,28,35,1.1,21.0,22.0,3.0,50.0,3.0,16,34,78,26,5,6.1,52,Thomas Vanek,-6,7.2,61,LW,14.0,10,0.0,0,12.7,204,Buffalo Sabres,1321,16:56,2012
108,26,30,1.7,26.0,22.0,41.0,52.3,45.0,16,102,80,20,4,3.9,46,Drew Stafford,5,5.6,50,RW,4.0,3,0.0,1,8.8,226,Buffalo Sabres,1412,17:39,2012
109,28,27,1.3,21.0,50.0,657.0,50.6,672.0,10,35,80,17,2,2.5,54,Derek Roy,-7,3.8,44,C,6.0,6,0.0,1,9.7,176,Buffalo Sabres,1546,19:19,2012
110,22,19,1.3,17.0,18.0,171.0,45.9,145.0,13,26,48,15,1,3.3,14,Tyler Ennis,11,4.6,34,C,2.0,2,0.0,0,18.3,82,Buffalo Sabres,776,16:10,2012
111,29,27,3.2,15.0,82.0,0.0,,0.0,4,47,66,5,3,2.4,47,Christian Ehrhoff,-2,5.6,32,D,10.0,1,2.0,0,3.7,136,Buffalo Sabres,1522,23:03,2012
112,28,17,1.1,17.0,28.0,135.0,41.3,95.0,7,41,71,8,1,0.5,16,Ville Leino,-2,1.6,25,LW,0.0,1,0.0,0,10.3,78,Buffalo Sabres,1131,15:55,2012
113,24,19,1.0,17.0,13.0,12.0,36.8,7.0,6,53,62,6,2,1.0,32,Nathan Gerbe,2,2.0,25,C,1.0,0,1.0,0,4.4,137,Buffalo Sabres,881,14:12,2012
114,31,14,4.2,10.0,128.0,0.0,,0.0,9,54,79,10,0,1.7,28,Jordan Leopold,4,6.0,24,D,4.0,1,0.0,0,9.1,110,Buffalo Sabres,1767,22:22,2012
115,29,15,1.0,9.0,24.0,141.0,47.2,126.0,6,29,65,8,0,1.1,6,Brad Boyes,2,2.0,23,C,6.0,2,0.0,0,8.0,100,Buffalo Sabres,856,13:10,2012
116,21,15,3.2,11.0,70.0,0.0,,0.0,5,78,55,8,1,2.0,33,Tyler Myers,5,5.2,23,D,4.0,3,0.0,0,9.5,84,Buffalo Sabres,1237,22:29,2012
117,21,10,0.4,7.0,15.0,145.0,44.0,114.0,10,26,52,10,0,1.6,14,Luke Adam,-6,2.0,20,LW,3.0,0,0.0,0,11.2,89,Buffalo Sabres,645,12:24,2012
118,29,10,0.8,9.0,40.0,376.0,56.8,495.0,7,98,56,7,3,0.3,70,Paul Gaustad,-1,1.1,17,C,0.0,0,1.0,0,11.3,62,Buffalo Sabres,845,15:05,2012
119,20,7,0.5,6.0,11.0,3.0,0.0,0.0,4,44,14,6,1,1.5,9,Marcus Foligno,6,2.0,13,LW,1.0,2,0.0,0,26.1,23,Buffalo Sabres,221,15:49,2012
120,25,10,3.2,10.0,93.0,1.0,0.0,0.0,2,56,69,3,0,0.2,18,Andrej Sekera,3,3.4,13,D,0.0,1,0.0,0,3.4,88,Buffalo Sabres,1353,19:36,2012
121,24,11,1.2,5.0,27.0,0.0,100.0,1.0,0,12,44,1,0,-0.6,20,Marc-Andre Gragnani,10,0.6,12,LW,6.0,1,0.0,0,2.9,35,Buffalo Sabres,721,16:23,2012
122,25,5,0.7,5.0,46.0,9.0,52.6,10.0,5,139,63,5,1,-0.7,116,Patrick Kaleta,-5,0.0,10,RW,0.0,0,0.0,0,7.2,69,Buffalo Sabres,829,13:09,2012
123,34,4,0.4,4.0,9.0,164.0,45.3,136.0,3,14,22,4,0,0.3,6,Jochen Hecht,1,0.7,8,C,0.0,0,0.0,1,10.0,40,Buffalo Sabres,370,16:50,2012
124,30,5,0.5,5.0,17.0,127.0,48.0,117.0,3,34,60,3,1,-0.4,25,Matt Ellis,-3,0.1,8,LW,0.0,0,0.0,0,3.5,85,Buffalo Sabres,583,9:43,2012
125,21,5,0.1,3.0,8.0,144.0,51.4,152.0,1,12,20,3,1,0.3,2,Cody Hodgson,-7,0.3,8,C,2.0,2,0.0,0,5.9,51,Buffalo Sabres,345,17:16,2012
126,27,5,0.8,4.0,24.0,0.0,,0.0,3,11,15,3,0,0.9,6,Alexander Sulzer,2,1.7,8,D,1.0,0,0.0,0,13.6,22,Buffalo Sabres,290,19:18,2012
127,22,5,0.4,5.0,20.0,5.0,0.0,0.0,3,47,34,3,1,0.3,20,Corey Tropp,0,0.6,8,RW,0.0,0,0.0,0,9.4,32,Buffalo Sabres,343,10:05,2012
128,21,7,0.9,7.0,30.0,0.0,,0.0,0,49,25,1,0,0.5,15,Brayden McNabb,-1,1.4,8,D,0.0,1,0.0,0,4.3,23,Buffalo Sabres,446,17:50,2012
129,21,4,0.3,3.0,1.0,7.0,50.0,7.0,3,39,27,3,0,0.2,20,Zack Kassian,-1,0.5,7,RW,1.0,0,0.0,0,8.3,36,Buffalo Sabres,322,11:56,2012
130,31,4,2.1,4.0,112.0,0.0,,0.0,1,172,76,1,0,-1.0,56,Robyn Regehr,-12,1.1,5,D,0.0,0,0.0,0,2.0,49,Buffalo Sabres,1416,18:38,2012
131,24,4,0.5,4.0,90.0,0.0,,0.0,1,123,51,1,0,-0.4,64,Mike Weber,-19,0.0,5,D,0.0,0,0.0,0,2.0,51,Buffalo Sabres,947,18:35,2012
132,28,3,0.1,3.0,11.0,9.0,47.1,8.0,1,67,50,1,0,-0.6,56,Cody McCormick,-7,-0.4,4,C,0.0,0,0.0,0,2.3,43,Buffalo Sabres,392,7:50,2012
133,26,3,0.1,3.0,3.0,39.0,41.8,28.0,1,7,9,1,0,0.3,4,Paul Szczechura,0,0.4,4,C,0.0,0,0.0,0,9.1,11,Buffalo Sabres,103,11:26,2012
134,22,0,0.3,0.0,6.0,0.0,,0.0,1,20,11,1,0,0.0,6,T.J. Brennan,0,0.4,1,D,0.0,0,0.0,0,7.1,14,Buffalo Sabres,155,14:07,2012
135,25,0,0.0,0.0,2.0,5.0,50.0,5.0,1,7,3,1,0,0.2,5,Travis Turnbull,0,0.2,1,C,0.0,0,0.0,0,33.3,3,Buffalo Sabres,15,4:55,2012
